"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C27,C35,C18,C1,C34,C4,C12,C31,C33,C28,C32,C30,C3,C17,C13,C36";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";16;"0.1uF";;;
2;"C23,C25,C24,C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"10uF/35V";;;
3;"R21,R24,R19,R22,R25,R18";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"22";;;
4;"R38";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1M";;;
5;"C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1000pF";;;
6;"R20,R23,R26";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";3;"3mOhm";;;
7;"C22";"470uF_10mm_Cap";1;"470uF";;;
8;"R12,R9,R15";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"1.5K";;;
9;"D5,D4,D6";"D_SOD-523";3;"1N4148WT";;;
10;"J2,J3";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Pin";;;
11;"L1";"INDPM5452X300N_Inductor";1;"6.8uH";;;
12;"ME3116";"SOT95P270X145-6N_ME3116";1;"~";;;
13;"U1";"SOT-23-5";1;"ME6211C30M5";;;
14;"IC2,IC1";"SOT96P237X111-3N_DIODE";2;"NUP2105LT1G";;;
15;"R29,R30";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"0";;;
16;"Q5,Q2,Q1,Q7,Q3,Q4";"CSD19502Q5B_MOSFET";6;"CSD19502Q5B";;;
17;"R35";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"0";;;
18;"D1";"LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder";1;"LED GREEN";;;
19;"IC4";"QFN50P400X400X90-25N-D_Gatedriver1";1;"FD6288Q";;;
20;"R13,R14,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"22K";;;
21;"R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1K";;;
22;"D2,D3";"D_SOD-523";2;"STPS1L40M";;;
23;"R31";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"169K";;;
24;"R37,R4";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";2;"10K";;;
25;"J1,J4";"Terminator";2;"39-30-1042";;;
26;"C21,C19,C20";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"1uF/25V";;;
27;"R16,R11,R17";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"2.2K";;;
28;"C16,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
29;"U2";"SOT-23-5";1;"SPX3819M5-L-5-0";;;
30;"R5";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"510K";;;
31;"R34,R33";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10K";;;
32;"SW1";"SW_PTS636_CNK";1;"PTS636 SM50J SMTR LFS";;;
33;"U5";"QFN50P700X700X60-49N_STM32";1;"STM32G431CBU6";;;
34;"R36";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"4.7K";;;
35;"TCAN1051HGVDR1";"SOIC127P600X175-8N_CAN";1;"~";;;
36;"VR1";"Trimmer_Potentiometer";1;"10k";;;
37;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uF/35V";;;
38;"C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10uF";;;
39;"R32";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"18K";;;
40;"C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100pF";;;
41;"U3";"Soldering Pad for BLDC motor";1;"Solder Pad";;;
42;"Y1";"CSTNE8M00G55Z000R0_Resonator";1;"8MHz";;;
43;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1M";;;
44;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"14K";;;
45;"AS5600";"AS5600";1;"~";;;
